sbj,Session,Condition,Score,condition
5,2,1,25,MATB_easy
5,2,2,37,MATB_med
5,2,3,71,MATB_diff
5,2,4,15.6203528797074,ZeroBack
5,2,5,25,OneBack
5,2,6,70.7949841244323,TwoBack
5,2,7,25,PVT
5,2,8,70.7949841244323,Flanker
5,3,1,13,MATB_easy
5,3,2,13.6911699690527,MATB_med
5,3,3,36.0696917326474,MATB_diff
5,3,4,13.3053333869217,ZeroBack
5,3,5,13.3053333869217,OneBack
5,3,6,37.2272014790402,TwoBack
5,3,7,25,PVT
5,3,8,24.88043085085,Flanker
6,1,1,23.3370845223263,MATB_easy
6,1,2,24.4945942687191,MATB_med
6,1,3,36.8413648969093,MATB_diff
6,1,4,23.7229211044572,ZeroBack
6,1,5,34.1405088219927,OneBack
6,1,6,36.8413648969093,TwoBack
6,1,7,24.1087576865882,PVT
6,1,8,24.88043085085,Flanker
6,2,1,24.88043085085,MATB_easy
6,2,2,24.1087576865882,MATB_med
6,2,3,36.4555283147783,MATB_diff
6,2,4,12.9194968047908,ZeroBack
6,2,5,24.88043085085,OneBack
6,2,6,24.4945942687191,TwoBack
6,2,7,24.1087576865882,PVT
6,2,8,24.4945942687191,Flanker
6,3,1,21.4079016116716,MATB_easy
6,3,2,25,MATB_med
6,3,3,25,MATB_diff
6,3,4,12.9194968047908,ZeroBack
6,3,5,22.5654113580644,OneBack
6,3,6,25,TwoBack
6,3,7,25,PVT
6,3,8,25,Flanker
7,1,1,52.274828182147,MATB_easy
7,1,2,62.6924158996825,MATB_med
7,1,3,100,MATB_diff
7,1,4,37,ZeroBack
7,1,5,48.0306257787066,OneBack
7,1,6,62.6924158996825,TwoBack
7,1,7,37,PVT
7,1,8,102.43358385917,Flanker
7,2,1,43.0147502110044,MATB_easy
7,2,2,71,MATB_med
7,2,3,113.622844740967,MATB_diff
7,2,4,37,ZeroBack
7,2,5,54.9756842570636,OneBack
7,2,6,90.0868132309795,TwoBack
7,2,7,92.7876693058961,PVT
7,2,8,61.5349061532897,Flanker
7,3,1,91.2443229773723,MATB_easy
7,3,2,61.1490695711587,MATB_med
7,3,3,75.4250231100036,MATB_diff
7,3,4,46.8731160323138,ZeroBack
7,3,5,43.0147502110044,OneBack
7,3,6,93.5593424701579,TwoBack
7,3,7,85.8426108275391,PVT
7,3,8,93.5593424701579,Flanker
8,1,1,71,MATB_easy
8,1,2,86.614283991801,MATB_med
8,1,3,100.890237530646,MATB_diff
8,1,4,39.1563843896949,ZeroBack
8,1,5,85,OneBack
8,1,6,85,TwoBack
8,1,7,71,PVT
8,1,8,79.2833889313131,Flanker
8,2,1,65.77910855673,MATB_easy
8,2,2,81.5984084240987,MATB_med
8,2,3,91.2443229773723,MATB_diff
8,2,4,37,ZeroBack
8,2,5,69.2516377959085,OneBack
8,2,6,80,TwoBack
8,2,7,70.4091475423014,PVT
8,2,8,80.4408986777059,Flanker
8,3,1,67.7082914673848,MATB_easy
8,3,2,68.0941280495157,MATB_med
8,3,3,94.7168522165508,MATB_diff
8,3,4,67.3224548852538,ZeroBack
8,3,5,65.77910855673,OneBack
8,3,6,81.5984084240987,TwoBack
8,3,7,75.8108596921346,PVT
8,3,8,78.1258791849202,Flanker
9,1,1,13,MATB_easy
9,1,2,15.6203528797074,MATB_med
9,1,3,45.32976970379,MATB_diff
9,1,4,20,ZeroBack
9,1,5,46.4872794501829,OneBack
9,1,6,46.1014428680519,TwoBack
9,1,7,33.3688356577308,PVT
9,1,8,22.9512479401953,Flanker
9,2,1,2,MATB_easy
9,2,2,14.8486797154455,MATB_med
9,2,3,4.81692858004099,MATB_diff
9,2,4,0.572726176600619,ZeroBack
9,2,5,23.7229211044572,OneBack
9,2,6,42.2430770467425,TwoBack
9,2,7,6.36027490856477,PVT
9,2,8,37.2272014790402,Flanker
9,3,1,3.27358225151722,MATB_easy
9,3,2,11.376150476267,MATB_med
9,3,3,29.1246332542904,MATB_diff
9,3,4,2.11607250512439,ZeroBack
9,3,5,14.8486797154455,OneBack
9,3,6,65.77910855673,TwoBack
9,3,7,29.5104698364214,PVT
9,3,8,18.321208954624,Flanker
10,1,1,94.3310156344198,MATB_easy
10,1,2,73.110003617218,MATB_med
10,1,3,102.43358385917,MATB_diff
10,1,4,37.9988746433021,ZeroBack
10,1,5,26.0379405972429,OneBack
